image_id,source,prompt,evaluation_seed
000000297578,coco-30k,A man walking down a street smoking a cigarette.,20047
000000128119,coco-30k,The bus has bikes on the front of it ,62464
000000014845,coco-30k,A river with boats docked and houses in the background.,21709
000000194288,coco-30k,A bathroom filled with a messy toilet and a sink.,67778
000000581245,coco-30k,a black and white photo of young people holding an open umbrella,25116
000000168246,coco-30k,A white toilet sitting next to a red counter with a  sink.,62792
000000581501,coco-30k,A kitchen filled with wooden cabinets and stools.,92901
000000358191,coco-30k,a bath room with two sinks a large mirror a bath tub,99274
000000232654,coco-30k,A baby sitting in a high chair eating food.,30336
000000129989,coco-30k,A fighter jet flying through a sky above water.,24098
000000012547,coco-30k,Two elderly people are sitting on a city bench.,10335
000000580613,coco-30k,A woman is riding an orange sports motorcycle.,62909
000000179611,coco-30k,A toilet sitting in a bathroom on top of a tiled floor.,99866
000000109216,coco-30k,A red kitchen with metallic appliances and paintings on the wall.,64936
000000286907,coco-30k,A bathroom scene with focus on the toilet.,83325
000000054039,coco-30k,Several motorcycles and cars parked on a city street.,11258
000000192701,coco-30k,A guy rides a bike in a race and has fun,89235
000000144064,coco-30k,A plan sitting on top of a sandy beach.,22643
000000359715,coco-30k,A blue motorcycle is parked on the street next to a truck.,67068
000000359182,coco-30k,a long row of motorcycles parked along a sidewalk in a city,34474
000000570528,coco-30k,A large orange cat sitting in a white glass bowl.,75970
000000553094,coco-30k,a fighter het flying up in the air ,42511
000000538054,coco-30k,A person holding up a piece of banana to the camera.,17837
000000139168,coco-30k,A squadron of four fighter jets flying through a blue sky.,10468
000000162256,coco-30k,A large hairy dog on a leash next to a crowd.,57158
000000003335,coco-30k,A clean white toilet with the toilet seat up.,57366
000000257660,coco-30k,A toilet with a light blue cover next to a shower.,44992
000000062510,coco-30k,A small kitchen has a stove and a blender.,78454
000000085288,coco-30k,A GIRAFFE IS NURSING ITS YOUNG IN THE ZOO,55315
000000293611,coco-30k,"A kitchen with a sink, bottles, jars and a dishwasher.",37194
000000259085,coco-30k,A rather portly woman crosses a city crosswalk,19089
000000562519,coco-30k,A man in full gear stands next to his motorcycle,2301
000000454907,coco-30k,"A kitchen that includes a stove, ovens and refrigerator.",15316
000000296730,coco-30k,A brick building with a clock tower at the corner of a street.,22588
000000155270,coco-30k,A police officer rides a motorcycle next to a beach.,42405
000000414510,coco-30k,A few people sitting by a busy street,82801
000000185633,coco-30k,"A bathroom has a bathtub, sink and window in it.",31420
000000581863,coco-30k,"Bathroom with tiled floor, radiator, shower and bathtub.",11869
000000465692,coco-30k,Person in jacket riding a bicycle on a street.,34552
000000473849,coco-30k,A white tiled bathroom with black counter top.,56898
000000336372,coco-30k,a close up of a kitten under a parked car very close to the tire,33127
000000384952,coco-30k,a kitchen with a table a stove and a sink,10385
000000066567,coco-30k,a bathroom with a toilet and a stand up shower,35705
000000537611,coco-30k,a very used and dirty harley davidson motorcycle,52250
000000574672,coco-30k,a group of people wearing skis on a snowy surface,68397
000000070774,coco-30k,Small motorcycle with several bicycles tied to the back of it. ,22416
000000068114,coco-30k,an empty street and signals that are red,58823
000000042147,coco-30k,a white plane is going low to make a landing,96373
000000053139,coco-30k,a white structure with a building in the background,38546
000000175831,coco-30k,Two people on mopeds passing in front of a building.,81471
000000015272,coco-30k,A red light is a wonderful contrast to the pink leaves on trees,29839
000000078035,coco-30k,A bathroom showing the bathtub and the sink and mirror.,95284
000000134010,coco-30k,A passenger train traveling through rural mountain countryside.,23290
000000087588,coco-30k,A person walking down a walkway next to a tree.,19840
000000015006,coco-30k,A restroom filled with graffiti and two toilet stalls.,22661
000000152120,coco-30k,A man in a jean jacket riding a motorcycle on a road.,82860
000000161112,coco-30k,A black and white photo of a child putting on gloves next to a suitcase.,13529
000000555953,coco-30k,A small airplane flying over a field filled with people.,44709
000000233553,coco-30k,two giraffes in  field near some trees ,6931
000000036478,coco-30k,The view from the inside of a jetliner looking out over the earth.,19029
000000564283,coco-30k,A white refrigerator freezer sitting inside of a kitchen.,27859
000000465327,coco-30k,A kitchen filled with appliances and cooking utensils.,81050
000000218224,coco-30k,A large white airplane sits on the runway.,17480
000000353551,coco-30k,A large passenger jet flying over the top of a forest.,49260
000000313491,coco-30k,A metal toilet with a blue seat in a bathroom.,99819
000000261115,coco-30k,a bath room with a bath tub and a window,4069
000000441247,coco-30k,A woman standing in a kitchen next to a table.,44415
000000340998,coco-30k,A person standing next to a bike covered in flowers.,81309
000000229740,coco-30k,A yellow striped cat sitting on a bathroom sink.,25909
000000069670,coco-30k,A motorcycle parked on a lush green field.,18075
000000359659,coco-30k,A white toilet sitting in a bathroom on a wooden floor.,3112
000000106739,coco-30k,A man and child near a short stop sign.,79336
000000136680,coco-30k,A woman sitting on a toilet wearing pink shoes.,40418
000000281868,coco-30k,A bathroom with a raised sink and a mirror.,70913
000000503837,coco-30k,A group of young people riding motorcycles down a street.,53586
000000084124,coco-30k,A large cat climbing up the side of a window.,46955
000000521352,coco-30k,A large orange sitting on a glass plate.,65751
000000258285,coco-30k,Two large passenger jets flying over a beach filled with birds.,13077
000000026209,coco-30k,A red all terrain vehicle next to a man with a green dirt bike.,8299
000000323263,coco-30k,A group of people standing around a blue building.,75066
000000320659,coco-30k,A toilet has been turned on it's side out in a yard.,16769
000000386707,coco-30k,A young man standing in front of a Canon store.,85218
000000279649,coco-30k,A large passenger jet taking off from a runway.,70498
000000462614,coco-30k,A bathroom filled with fixtures and a shower.,65129
000000163361,coco-30k,A colorful airplane flying though a blue sky.,90903
000000535643,coco-30k,A urinal mounted to a pink wall next to a toilet.,34929
000000092124,coco-30k,A bathroom with a white toilet and a sink net to a shower.,50367
000000561054,coco-30k,A small child riding on a blue wheeled toy.,44241
000000025282,coco-30k,A smiling woman sitting on a stationary motorcycle.,51308
000000062167,coco-30k,a man standing next to sheep on a lush green park.,53680
000000449976,coco-30k,A bottle of sprite sitting on top of a bench.,80860
000000160456,coco-30k,A woman standing next to two parked motorcycles and a child.,359
000000172627,coco-30k,A yellow smiley face cat sitting on a white plate.,10589
000000029197,coco-30k,An airplane flying through the gray sky with smoke pouring out it's back.,97954
000000380706,coco-30k,A man riding a motorcycle down a city street.,6352
000000507352,coco-30k,A bathroom with a toilet and a toilet paper dispenser.,44758
000000029587,coco-30k,Black and white cat sitting on a man's head in front of a storefront.,56241
000000180362,coco-30k,A car dashboard with a group of brown cows waking towards it.,84466
000000039770,coco-30k,A pot on top of a stove next to a large metal ladle.,2862
000000483553,coco-30k,A man preparing food outside of a shop on a street corner.,91119
000000479378,coco-30k,A parked motorcycle sitting on the side of the road.,10542
000000474786,coco-30k,A bathroom with a sink and television inside of the mirror.,68741
000000355370,coco-30k,A large passenger jet sitting on top of a runway.,75757
000000194013,coco-30k,A man working on an intricate task while on a canoe in an everglade.,64893
000000177420,coco-30k,White counter top sink with wooden cabinets and a mirror. ,22852
000000576160,coco-30k,The interior of a public bathroom with multiple sinks.,61033
000000415828,coco-30k,A group of people standing under an umbrella on the side of a street.,85714
000000047603,coco-30k,A bathroom with a shower next to a large mirror.,59061
000000385248,coco-30k,Scantily dressed women near a line of motorcycles.,26303
000000552824,coco-30k,A car parked outside of a gas station with chrome rims.,56183
000000252829,coco-30k,"A bathroom with white counters, wooden cabinets and a toilet.",12718
000000388298,coco-30k,A white toilet sitting next to a wall outdoors.,42668
000000067164,coco-30k,A white cat sitting in the drivers seat of a car.,61586
000000068878,coco-30k,A cat that is sitting on the hood of a car.,77381
000000531970,coco-30k,A red fire hydrant mounted to the side of a building.,46526
000000116712,coco-30k,A man riding a motorcycle on top of a race track.,83962
000000290868,coco-30k,A grandmother standing next to a child in a kitchen.,29571
000000403145,coco-30k,The bathtub and sink of a bathroom with a large mirror.,18160
000000000472,coco-30k,A plane flies over water with two islands nearby.,48006
000000360772,coco-30k,A toilet sitting in a bathroom next to a sink.,58557
000000372938,coco-30k,A group of people riding on the back of a loaded red pickup truck.,25455
000000128280,coco-30k,A metal bowl filled with wet juicy oranges.,14058
000000097022,coco-30k,A kitchen filled with wooden cabinets and a microwave oven.,50226
000000208901,coco-30k,A large passenger jet flying through a gray sky.,83394
000000074209,coco-30k,A counter in a kitchen line with black metal stools.,91070
000000236023,coco-30k,A beautiful red haired woman holding a cup while wearing a sweater,91409
000000151877,coco-30k,A large truck parked next to palm trees on a street.,27021
000000472375,coco-30k,A small black and brown dog sitting next to a motorcycle.,40497
000000195271,coco-30k,A woman standing in a kitchen holding a jug of milk.,80555
000000176271,coco-30k,A glass bowl filled with oranges on top of a table.,48752
000000502749,coco-30k,A kitchen with a center island with wooden stools.,98358
000000465324,coco-30k,A herd of elephants grazing on a lush green field.,60018
000000093140,coco-30k,A kitchen filled with hard wood flooring and appliances.,8331
000000224724,coco-30k,There is a woman standing on a city street.,86140
000000216014,coco-30k,"A small dog on TV behind the words "" What Did I Do Wrong?'.",64354
000000038769,coco-30k,A cat perched on a car dashboard travelling on a street.,95458
000000361750,coco-30k,"A fancy toilet, including a sink on the back and controls on the side.",71224
000000073450,coco-30k,Airport workers loading luggage onto into an airplane's cargo hold.,15210
000000104647,coco-30k,A group of bikers riding on the back of motorcycles.,86809
000000504248,coco-30k,A bathroom with a tub next to a toilet and a sink.,73179
000000564151,coco-30k,A bathroom with a large white sink and a door.,87062
000000564816,coco-30k,A bathtub is in a bathroom with green tile.,22969
000000553280,coco-30k,"A small bathroom with a toilet, sink and window.",95345
000000084752,coco-30k,a jet on three pillars in front of a building,33247
000000187647,coco-30k,Two brown teddy bears sitting on top of a wooden table.,97779
000000227224,coco-30k,a person driving a motorcycle on a closed course,52179
000000064152,coco-30k,A kitchen with a refrigerator freezer next to a sink.,36182
000000550552,coco-30k,A large kitchen with an  island surrounded by stools.,17217
000000403863,coco-30k,A blue and white tooth brush sitting on a sink.,81075
000000180495,coco-30k,A stove top oven covered in pots and pans.,55491
000000283438,coco-30k,A TV inside of a bathroom mirror next to a light.,88594
000000469471,coco-30k,A bathroom with a white toilet sitting next to a sink.,40218
000000467742,coco-30k,A woman carrying a red purse filled with hot dogs.,95055
000000211189,coco-30k,A group of motorcycle riders racing down a track.,80851
000000180411,coco-30k,A large Air Force jet taking off of a runway.,31789
000000173584,coco-30k,Two fighter jets flying through a blue sky.,88964
000000256094,coco-30k,A white toilet sitting in a bathroom next to a wall.,5825
000000033243,coco-30k,A bathroom with a white bath tub and two sinks.,69445
000000466005,coco-30k,A jetliner flying above in a light blue sky.,5504
000000390348,coco-30k,A motorcycle parked on a walkway next to a dog.,3676
000000156846,coco-30k,A group of people sitting around a long table,10445
000000506220,coco-30k,A bathroom filled with a bath tub and his and her sinks.,50040
000000511236,coco-30k,A white toilet sitting in front of a building under a window.,45817
000000193271,coco-30k,A kitchen filled with black appliances and lots of counter top space.,97882
000000038630,coco-30k,A white toilet sitting in a bathroom next to a wall.,12836
000000405432,coco-30k,A white table topped with cakes and nuts.,58783
000000313337,coco-30k,A paper bowl filled with cake and a muffin next to a banana.,48606
000000347879,coco-30k,A brown cat laying in a white bathroom sink.,21113
000000290269,coco-30k,A black and white dog chasing sheep in a field.,51761
000000153083,coco-30k,Two motorcycles parked in a grassy area next to a tree.,43134
000000347535,coco-30k,An old black and white photo of a city street with a large cathedral on the right hand side. ,92724
000000062311,coco-30k,"A living area with a television, CD rack and various posters.",56188
000000542509,coco-30k,A computer desk with various monitors and speakers.,87465
000000145199,coco-30k,A kitchen area with a dining table and counter.,7785
000000377595,coco-30k,A gigantic pastry held together by a bag and skewers,50248
000000436392,coco-30k,A bathroom with a frame on wall and sink,72594
000000056373,coco-30k,A grey and white cat sitting at foot of a doorway.,83181
000000084870,coco-30k,A large passenger jet flying through a cloudy sky.,70831
000000507274,coco-30k,A white bath tub in a bathroom under a mirror.,99092
000000245274,coco-30k,A bathroom with a toilet and a bathtub with a safety rail.,85167
000000172886,coco-30k,A bathroom with two sinks mounted on a wall.,50112
000000293324,coco-30k,A group of large passenger jets parked in front of an airport.,89960
000000097159,coco-30k,a compact kitchen with stainless-steel cabinets behind glass blocks,48746
000000527102,coco-30k,A man sitting in a chair holding a yellow umbrella.,90924
000000467705,coco-30k,A kitchen filled with bottles on it's counters and lots of counter space.,58669
000000350639,coco-30k,A woman standing in a kitchen preparing food.,69142
000000412764,coco-30k,A crowd of people standing around a field.,78197
000000209682,coco-30k,A white toilet in a bathroom next to a white sink.,20078
000000185201,coco-30k,A butcher cutting up the corpse of a dead animal.,77583
000000008211,coco-30k,"Two men talking to each other on a street corner
",91655
000000577857,coco-30k,A metal sink next to a white top oven ,4767
000000459408,coco-30k,A bathroom under construction with a white tub next to a toilet.,19534
000000382625,coco-30k,A group of people standing behind a blue table topped with sheet cakes.,60697
000000190150,coco-30k,A motorcycle parked next to a black truck.,54634
000000325768,coco-30k,A small kitten is lying on the seat of a large motorcycle.,55872
000000539808,coco-30k,A humongous jumbo jet is on the airport runway.,75499
000000064629,coco-30k,A large propeller airplane flying through a blue sky.,67724
000000256505,coco-30k,A woman riding a bike while wearing really short shorts.,48727
000000185546,coco-30k,A bathroom with a white toilet underneath a window.,79271
000000182734,coco-30k,A person riding a motorcycle on a playground.,32778
000000034873,coco-30k,A kitchen with a counter and a table with chairs.,2260
000000370325,coco-30k,A large passenger jet flying through a blue sky.,99286
000000409842,coco-30k,A shower door with a white towel hanging from it.,85216
000000576080,coco-30k,A white toilet sitting up against a yellow wall.,61682
000000479950,coco-30k,A group of  people sitting around a table on laptops.,70522
000000492395,coco-30k,A group of motorcycle cops riding across a field.,50
000000167477,coco-30k,A white toilet in a bathroom next to a white sink.,88717
000000138488,coco-30k,A man riding a white scooter down a street with a woman on the back.,47566
000000068381,coco-30k,A bike parked in front of a window on the side of a building.,84432
000000504948,coco-30k,A blue motorcycle parked outside of a building.,38113
000000229599,coco-30k,A crystal bowl filled with oranges on top of a table.,68054
000000581394,coco-30k,Group of people standing outside of a green bus.,10354
000000565031,coco-30k,A group of bikers parked in a parking lot under large lights.,82520
000000031660,coco-30k,A bathroom with a small white toilet under a skylight.,92590
000000263178,coco-30k,A clear glass bowl filled with fruit on a wooden table..,24545
000000323418,coco-30k,A sky filled with airplanes flying underneath the clouds.,8460
000000182715,coco-30k,A little girl cutting up food on a  cutting board.,15896
000000233075,coco-30k,A group of knives mounted to a kitchen wall.,51251
000000169972,coco-30k,a close up of a person riding a motorcycle ,3948
000000560623,coco-30k,An airport filled with planes sitting on tarmacs.,75413
000000074135,coco-30k,A man standing next to another man as they prepare food.,57848
000000580294,coco-30k,Person cooking an eggs on a black pot on a stove. ,95381
000000333140,coco-30k,A black cat sitting at a computer desk topped with a monitor.,20671
000000129520,coco-30k,A couple of men riding horse drawn carriages.,91203
000000490567,coco-30k,A bathroom with a white toilet next to a walk in shower.,90186
000000492800,coco-30k,A diner with large pepsi signs on the front of it.,14762
000000327663,coco-30k,A group of horse mounted police standing in front of a crowd.,3486
000000507893,coco-30k,The bathroom is white and looks very clean.,79357
000000573756,coco-30k,Two giraffe standing next to each other in a forest.,84572
000000101762,coco-30k,A cat standing next to a bike parked against a wall.,71503
000000374628,coco-30k,A kitchen with wood floors and lots of furniture.,47629
000000139567,coco-30k,A tall church sitting next to a lush green field.,62735
000000068520,coco-30k,Three buses pulled in front of a bus station loading passengers.,62337
000000559159,coco-30k,A kitchen with a wooden floor and white cabinets.,76037
000000053748,coco-30k,A tall giraffe studding next to a  parked truck.,30715
000000564629,coco-30k,"A kitchen, with a sink, oven, fridge, and cabinets.",94338
000000124979,coco-30k,A man laying on top of a wall next to a bike.,88320
000000226984,coco-30k,A kitchen filled with appliances and wooden cabinets.,14402
000000533721,coco-30k,A table topped with a bottle of alcohol and a plastic cup.,75389
000000052017,coco-30k,A yellow and blue plant flying in a gray sky.,43143
000000397375,coco-30k,A dog sitting in the passenger seat of a car.,78106
000000182279,coco-30k,A couple of people standing in a field flying a giant kite.,65109
000000009668,coco-30k,A kitchen filled with appliances and a wall mounted picture.,43205
000000319456,coco-30k,A woman standing in front of a bathroom mirror next to a sink.,94117
000000489339,coco-30k,A woman is wearing a wetsuit while holding a surfboard.,86590
000000131919,coco-30k,A woman walking a bike next to a river with a boat in it.,18109
000000262054,coco-30k,A large kitchen filled with white appliances with lots of counter space.,442
000000257236,coco-30k,A man sitting on a bench on top of a pier.,75190
000000540816,coco-30k,A large passenger jet flying through a blue sky.,76321
000000258472,coco-30k,A group of people walking across a bridge over a river.,18413
000000013769,coco-30k,A white toilet sitting in a bathroom next to a white wall.,71870
000000208991,coco-30k,A couple of red motorcycles parked in front of a building.,53210
000000416467,coco-30k,A kitchen filled with a metal stove top oven.,19689
000000103306,coco-30k,A bathroom with a shower and a sink.,59339
000000490225,coco-30k,A large jetliner sitting on top of an airport tarmac.,45120
000000476299,coco-30k,A bathroom with a white toilet next to a sink.,4682
000000241844,coco-30k,A kitchen with white cabinets has a sink and white refrigerator.,69367
000000064510,coco-30k,A group of jets sitting on top of an airport tarmac.,84686
000000462364,coco-30k,A white toilet with a box of tissues on it's tank.,67034
000000414917,coco-30k,A large passenger jet sitting on an airport tarmac.,70361
000000123136,coco-30k,A kitchen sink and part of a stove with a doorway leading into an adjacent room,4481
000000268469,coco-30k,A red motorcycle parked next to a woman sitting down.,21279
000000101647,coco-30k,A bathroom with a run down looking shower next to a sink.,81671
000000180953,coco-30k,A large purple and red passenger jet flying through a blue sky..,17427
000000340665,coco-30k,A woman holding an umbrella standing next to a black wall.,23204
000000322922,coco-30k,A group of men on bikes hitching a ride on the back of a bus.,84036
000000574138,coco-30k,A chef preparing food in a kitchen on a platter.,12607
000000035498,coco-30k,A mouse sitting on the side of a computer monitor.,31119
000000161347,coco-30k,A large passenger jet sitting on top of a tarmac.,70937
000000465463,coco-30k,A woman preparing food inside of a kitchen.,81610
000000205401,coco-30k,A plane floating on top of a lake surrounded by mountains.,43917
000000166142,coco-30k,A white  and gray water fixture sitting on top of cardboard.,19916
000000419974,coco-30k,a man standing next to a kitchen counter preparing food.,21992
000000480591,coco-30k,A group of men and women playing a game on the Nintendo Wii.,22372
000000360510,coco-30k,A cat laying on to of a car roof.,47079
000000381519,coco-30k,A row of wooden park benches sitting next to a street.,6343
000000459786,coco-30k,A bathroom filled with a row of sinks under mirrors.,43537
000000311374,coco-30k,A child sitting at a table eating food from a small car.,53118
000000422785,coco-30k,a kitchen filled with lots of counter top space and cooking utensils.,13729
000000566189,coco-30k,"A bathroom filled with rotten,crap filled, destroyed toilets sitting in a row in a destroyed bathroom.",61578
000000523978,coco-30k,"A bathroom with a white bath tub, sink and large window.",86300
000000299288,coco-30k,A picture of a person talking on a phone. ,34835
000000182056,coco-30k,A white toilet sitting in a bathroom on a tiled floor.,94456
000000292505,coco-30k,A motorcycle parked next to a group of electrical boxes.,47952
000000496166,coco-30k,A large white toilet next to a child's white toilet.,17840
000000504167,coco-30k,A cat looking off to it's right with bright blue eyes.,34760
000000262895,coco-30k,"A man wearing a tie, jacket and white shirt.",16333
000000180784,coco-30k,A small propeller plane sitting on top of a field.,32344
000000328452,coco-30k,A bathroom sink below a well lit mirror.,59542
000000053677,coco-30k,A man standing next to a small airplane with two dogs.,40628
000000224819,coco-30k,A cheesy pastry sitting on top of a plate.,22153
000000474410,coco-30k,Four jets flying in formation in a blue sky.,26317
000000569450,coco-30k,A white stove top oven sitting in a kitchen.,38419
000000010825,coco-30k,A woman sitting in a car holding a smart phone.,52432
000000361656,coco-30k,a bunch of ripe bananas sitting on a table.,69589
000000223746,coco-30k,A man standing in a bathroom not wearing a shirt.,68867
000000170852,coco-30k,a man riding a wave on top of a surfboard.,95703
000000543192,coco-30k,A pile of different fruits sitting next to each other in a  bowl.,5822
000000552510,coco-30k,A group of young children kicking a soccer ball around a field.,35693
000000042144,coco-30k,a traffic light with all green lights over a street.,29598
000000046877,coco-30k,A grey and white cat outside looking into a window.,16215
000000253171,coco-30k,A couple of glasses next to a  bottle.,87118
000000324253,coco-30k,a bathroom with a white sink next to a white bath tub.,72799
000000138639,coco-30k,A group of men standing on the side of a street.,70442
000000554466,coco-30k,A white church sitting at the bottom of a hillside.,44011
000000076674,coco-30k,A wooden bench sitting in front of a park.,84123
000000249482,coco-30k,A large passenger jet taking off from an airport runway.,33074
000000144062,coco-30k,A white toilet sitting next to a window in a bathroom.,82344
000000381615,coco-30k,A window in a kitchen filled with green plants.,18725
000000190326,coco-30k,A cat standing on top of a car trunk next to a parked motorcycle.,13796
000000298137,coco-30k,A jet airliner flying over a building with sky in background.,63091
000000525208,coco-30k,A busy city street filled with traffic at night.,4612
000000159427,coco-30k,An intersection and three sets of traffic signal light.,34259
000000151807,coco-30k,A parked motorcycle in front of a small store.,28004
000000459141,coco-30k,A person wearing a straw hat walking a bike.,94251
000000118507,coco-30k,A hallway with yellow painted walls and a light mounted on a wall.,83319
000000394773,coco-30k,A parked motorcycle on the side of the road.,46675
000000523371,coco-30k,A man wearing a leather jacket standing next to a black motorcycle.,80314
000000225847,coco-30k,A white sink in a bathroom under a window.,20553
000000152111,coco-30k,A man kiteboarding on top of waves in the ocean.,74383
000000252857,coco-30k,A bathroom filled with a toilet next to a tub and a sink.,48713
000000349184,coco-30k,A woman sitting on top of a wooden bench near a park.,81023
000000548766,coco-30k,A couple of baby sheep standing next to each other.,66724
000000059207,coco-30k,A woman riding a motor scooter with a woman on back.,29885
000000251343,coco-30k,A kitchen with a black stove top oven and white cabinets.,58643
000000411093,coco-30k,A red car sitting on to of a black boat.,89640
000000400247,coco-30k,A man riding a motorcycle down a city street.,53117
000000507273,coco-30k,A woman putting on a lipstick holding a sharp knife.,89055
000000566687,coco-30k,A pile of different types of vegetables on top of each other.,64334
000000514682,coco-30k,A bathroom with a white tub next to a sink and toilet.,37640
000000063565,coco-30k,A group of people enjoying a day at the beach.,73935
000000427561,coco-30k,A man on a motorcycle with a group of people standing around it.,88158
000000037670,coco-30k,A man holding holding a giant remote control.,72447
000000141416,coco-30k,A yellow motorcycle passing by people behind a barrier.,24412
000000120254,coco-30k,A bathroom sink under a mirror and lights.,17789
000000366157,coco-30k,A herd of sheep passing by people behind barriers.,37946
000000391011,coco-30k,A row of parked motorcycles sitting on the side of a road.,13061
000000338219,coco-30k,A couple of motorcycles parked next to each other.,39847
000000206487,coco-30k,A man riding a motorcycle with a woman on back of it.,38624
000000360346,coco-30k,A small propeller airplane taking off from a runway.,30465
000000021198,coco-30k,A woman sitting at a table inside of a kitchen.,65659
000000120806,coco-30k,A large large floating out in the water with an airplane flying over it.,47139
000000234733,coco-30k,an unattached toilet in the middle of a room with red tiled floors.,37686
000000011149,coco-30k,A man standing next to a bikes and a motorcycle.,67619
000000497674,coco-30k,An older person sitting on a wooden bench.,10348
000000060988,coco-30k,A large airplane flying over a lush green hillside.,81581
000000268556,coco-30k,A woman is riding a motorcycle down the street.,71504
000000379453,coco-30k,An Air Force jet flying in a deep blue sky.,94901
000000142697,coco-30k,A man flying through the air while riding a surfboard.,7671
000000312632,coco-30k,A white toilet sitting in a bathroom next to a counter.,53153
000000184773,coco-30k,A pine apple on top of a pile of mixed fruit.,95111
000000104112,coco-30k,A toilet in a bathroom next to a window and toilet paper dispenser.,36768
000000469795,coco-30k,A walk in shower next to a tub in a bathroom.,11355
000000404988,coco-30k,A line of benches that are snow covered,78117
000000158344,coco-30k,A white toilet sitting next to a white sink in a bathroom.,18613
000000579902,coco-30k,A person riding a motorcycle down a street.,71449
000000107541,coco-30k,A man standing on a snow covered field holding skis.,71049
000000084762,coco-30k,A group of men riding motorcycles in street with American flags.,75945
000000123842,coco-30k,A TV with two cows standing in a forest displayed on it's screen.,9463
000000488387,coco-30k,A blue motor scooter with a cat sitting on it.,49392
000000351930,coco-30k,A fighter jet sitting on top of an airport tarmac.,99111
000000200302,coco-30k,A messy home office space with no one working.,71939
000000374559,coco-30k,A man in black shirt on a motorcycle in a street.,67098
000000485424,coco-30k,an image of a junky garage with trash everywhere,44153
000000548296,coco-30k,a close up of a giraffe and a zebra in a field near trees,4845
000000232262,coco-30k,an image of a cars driving on the highway,43228
000000187286,coco-30k,an image of two bikers at a cross walk,46170
000000328462,coco-30k,Lady working in a kitchen while man sits at table watching TV.,84363
000000171349,coco-30k,An unfinished bathroom with a boarded window and exposed pipes.,95322
000000067823,coco-30k,a close up of a scooter parked indoors,51382
000000220171,coco-30k,A brown wooden bench sitting up against a wall.,61264
000000264336,coco-30k,A man riding a bike through a lush green park.,95941
000000104751,coco-30k,A man taking a selfie in front of a mirror.,68468
000000237777,coco-30k,Two elephants standing next to each other in a jungle forest. ,44138
000000071384,coco-30k,an over head view of cars parked below,3955
000000214727,coco-30k,A man standing in a bathroom in front of a mirror.,6094
000000223574,coco-30k,Emergency vehicles are on the scene of the accident.,59673
000000323186,coco-30k,A white egg-shaped bathtub in a decorative bathroom.,41703
000000244246,coco-30k,A commercial aircraft flies low above street traffic.,16666
000000134483,coco-30k,A white toilet with a black seat in a small bathroom.,5912
000000247184,coco-30k,A bathroom being remodeled with a white toilet.,24269
000000520956,coco-30k,A tall building with a massive clock on it's face.,55817
000000217883,coco-30k,A subway train with it's loading doors wide open.,32875
000000105465,coco-30k,A passenger jet filled with purple and blue seats.,13940
000000552302,coco-30k,A man standing next to an airplane on a runway.,14810
000000033854,coco-30k,"A bus, old cabin cars, and motor cycles with people ",14861
000000191381,coco-30k,Blue dust pan and brush on floor next to white commode.,54647
000000385346,coco-30k,"An orange, white and blue bus on a street.",53144
000000408621,coco-30k,A yellow and green bus passing in front of a building.,19899
000000086408,coco-30k,"A kitchen with a stove, microwave and refrigerator.",19330
000000044590,coco-30k,A group of motorcycles parked on the side of a road.,84386
000000282229,coco-30k,an airplane is being towed away from the jet bridge,70845
000000195306,coco-30k,"A bathroom with a toilet, sink and bathtub.",45641
000000011374,coco-30k,A branch stretches in the air while an airplane flies in the distance.,59481
000000377314,coco-30k,We are looking up at the underside of an airplane.,75480
000000015596,coco-30k,Two speed motorcyclers turning a corner very sharply,98082
000000252844,coco-30k,An airplane at its gate on an overcast day.,27903
000000199540,coco-30k,A women holding up a very large pair of scissors .,18279
000000433373,coco-30k,two plates of food on a table with chairs,94758
000000153901,coco-30k,A glass cup full of some drinks set on a table counter.,56942
000000275161,coco-30k,People are hiding under colorful umbrellas on a rainy day.,47320
000000215867,coco-30k,A man on a bicycle passing by a taxi.,43835
000000574825,coco-30k,Two women in street holding scissors and papers.,39239
000000167898,coco-30k,"A kitchen with a toilet, sink and a bathtub.",67362
000000167122,coco-30k,an image of a night scene with a cat on top of a car,75175
000000397459,coco-30k,"an image of a kitchen setting with ceramic backsplash
",13418
000000347367,coco-30k,An airplane is going over a steep mountain.,53356
000000000764,coco-30k,an image  of people outside playing frisbee,72962
000000227220,coco-30k,A kitchen with a white tile wall and a chrome counter with a built in oven.,74563
000000266677,coco-30k,A woman holding a microphone stands in front of two giraffe.,46088
000000103462,coco-30k,Black and white photograph of a woman using a sewing machine.,72660
000000459502,coco-30k,A black and white plane flying in a blue sky.,89794
000000487702,coco-30k,The street sign is across from an electronic sign of a restaurant.,65349
000000365766,coco-30k,"A kitchen area with a stove, sink and microwave.",33812
000000206411,coco-30k,A hand spraying water into a white toilet bowl.,60788
000000500464,coco-30k,Bathroom with a white tiled floor and sink.,15302
000000467511,coco-30k,A biker chic in high heel boots is talking to a man at a gas pump.,52581
000000399400,coco-30k,an image of a a plane that is flying in the air,61432
000000051495,coco-30k,The wing of an airplane flying above a beach.,65515
000000231402,coco-30k,A motorcycle passing by a yellow dump truck.,76399
000000311295,coco-30k,A field with various wildlife and trees in the background.,69370
000000170099,coco-30k,a person wearing a suit and tie next to a couch,86931
000000201163,coco-30k,Three men sitting on motorcycles on a sidewalk.,93097
000000073861,coco-30k,Black cat lying on smooth tiled kitchen floor.,2635
